CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
73974073,01/01/2021,01/01/2021,00:05:11,83,BROOKLYN,PATROL BORO BKLYN NORTH,1003160,193354,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,01/01/2021 12:05:11 AM,01/01/2021 12:10:24 AM,,01/01/2021 03:25:41 AM,40.697377,-73.931806
73974074,01/01/2021,01/01/2021,00:05:11,1,MANHATTAN,PATROL BORO MAN SOUTH,981228,198835,75S,STATION INSPECTION BY TRANSIT BUREAU PERSONNEL,Non CIP,01/01/2021 12:05:11 AM,01/01/2021 12:05:11 AM,01/01/2021 12:05:11 AM,01/01/2021 12:17:13 AM,40.712441,-74.010902
73974077,01/01/2021,01/01/2021,00:05:27,17,MANHATTAN,PATROL BORO MAN SOUTH,992252,211851,50P1,DISORDERLY: PERSON/INSIDE,Non CIP,01/01/2021 12:05:27 AM,01/01/2021 12:16:30 AM,,01/01/2021 12:26:42 AM,40.748163,-73.971122
73974078,01/01/2021,01/01/2021,00:05:30,112,QUEENS,PATROL BORO QUEENS NORTH,1028018,201311,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,01/01/2021 12:05:30 AM,01/01/2021 12:05:31 AM,01/01/2021 12:05:33 AM,01/01/2021 12:05:35 AM,40.719129,-73.842109
73974081,01/01/2021,01/01/2021,00:05:35,30,MANHATTAN,PATROL BORO MAN NORTH,998758,240846,50P1,DISORDERLY: PERSON/INSIDE,Non CIP,01/01/2021 12:05:35 AM,01/01/2021 12:12:53 AM,01/01/2021 12:29:26 AM,01/01/2021 12:34:45 AM,40.827738,-73.947579
73974082,01/01/2021,01/01/2021,00:05:38,6,MANHATTAN,PATROL BORO MAN SOUTH,984127,206545,10S1,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/INSIDE,Critical,01/01/2021 12:05:38 AM,01/01/2021 12:06:20 AM,01/01/2021 12:07:44 AM,01/01/2021 12:17:27 AM,40.733603,-74.000445
73974083,01/01/2021,01/01/2021,00:05:40,108,QUEENS,PATROL BORO QUEENS NORTH,998756,213123,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/01/2021 12:05:40 AM,01/01/2021 12:05:40 AM,01/01/2021 12:05:40 AM,01/01/2021 02:52:48 AM,40.751646,-73.947646
73974084,01/01/2021,01/01/2021,00:05:47,104,QUEENS,PATROL BORO QUEENS NORTH,1019704,203226,50G2,DISORDERLY: GROUP/OUTSIDE,Non CIP,01/01/2021 12:05:47 AM,01/01/2021 12:24:14 AM,01/01/2021 01:08:00 AM,01/01/2021 01:08:46 AM,40.724422,-73.872091
73974087,01/01/2021,01/01/2021,00:05:58,88,BROOKLYN,PATROL BORO BKLYN NORTH,991001,192171,10S4,SHOT SPOTTER,Critical,01/01/2021 12:05:58 AM,01/01/2021 03:02:00 AM,,01/01/2021 05:52:50 AM,40.694147,-73.975656
73974087,01/01/2021,01/01/2021,00:05:58,88,BROOKLYN,PATROL BORO BKLYN NORTH,991001,192171,10S4,SHOT SPOTTER,Critical,01/01/2021 12:05:58 AM,01/01/2021 12:07:30 AM,01/01/2021 01:03:08 AM,01/01/2021 06:26:27 AM,40.694147,-73.975656
